type,count
/cosmos.distribution.v1beta1.MsgWithdrawDelegatorReward,1008947
/tendermint.liquidity.v1beta1.MsgSwapWithinBatch,870908
/cosmos.staking.v1beta1.MsgDelegate,656072
/ibc.core.client.v1.MsgUpdateClient,624418
/ibc.applications.transfer.v1.MsgTransfer,357961
/ibc.core.channel.v1.MsgAcknowledgement,346886
/ibc.core.channel.v1.MsgRecvPacket,320992
/cosmwasm.wasm.v1.MsgExecuteContract,179534
/cyber.graph.v1beta1.MsgCyberlink,136130
/cosmos.distribution.v1beta1.MsgWithdrawValidatorCommission,116665
/cosmos.bank.v1beta1.MsgSend,82161
/cosmos.authz.v1beta1.MsgExec,36194
/cosmos.gov.v1beta1.MsgVote,18795
/ibc.core.channel.v1.MsgTimeout,13012
/cyber.resources.v1beta1.MsgInvestmint,10094
/cosmos.staking.v1beta1.MsgBeginRedelegate,8084
/cosmos.staking.v1beta1.MsgUndelegate,5723
/tendermint.liquidity.v1beta1.MsgDepositWithinBatch,5533
/cosmos.authz.v1beta1.MsgGrant,4052
/tendermint.liquidity.v1beta1.MsgWithdrawWithinBatch,1647
/cosmos.slashing.v1beta1.MsgUnjail,1395
/cosmos.authz.v1beta1.MsgRevoke,507
/cosmos.staking.v1beta1.MsgEditValidator,474
/cyber.grid.v1beta1.MsgEditRoute,234
/cosmwasm.wasm.v1.MsgInstantiateContract,203
/cosmos.gov.v1beta1.MsgDeposit,168
/cyber.grid.v1beta1.MsgCreateRoute,139
/cosmos.staking.v1beta1.MsgCreateValidator,113
/ibc.core.client.v1.MsgCreateClient,99
/cyber.grid.v1beta1.MsgDeleteRoute,57
/ibc.core.connection.v1.MsgConnectionOpenInit,46
/ibc.core.connection.v1.MsgConnectionOpenAck,39
/ibc.core.channel.v1.MsgChannelOpenInit,37
/ibc.core.channel.v1.MsgChannelOpenAck,36
/cosmwasm.wasm.v1.MsgStoreCode,34
/cosmos.gov.v1beta1.MsgSubmitProposal,28
/tendermint.liquidity.v1beta1.MsgCreatePool,25
/ibc.core.connection.v1.MsgConnectionOpenTry,16
/ibc.core.channel.v1.MsgChannelOpenTry,16
/ibc.core.connection.v1.MsgConnectionOpenConfirm,16
/ibc.core.channel.v1.MsgChannelOpenConfirm,16
/cosmos.bank.v1beta1.MsgMultiSend,15
/cosmos.distribution.v1beta1.MsgSetWithdrawAddress,13
/cosmos.vesting.v1beta1.MsgCreateVestingAccount,3
/cosmos.feegrant.v1beta1.MsgGrantAllowance,2
/cyber.grid.v1beta1.MsgEditRouteName,2
/cosmwasm.wasm.v1.MsgMigrateContract,1
/cosmos.feegrant.v1beta1.MsgRevokeAllowance,1
